Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Pea curry (Matar ki sabzi),102.99,9.2,4.51,5.11,1.98,4.44,154.75,24.48,1.2,77.64,107.74,0.0,1 katori (bowl),175,180.2,7.9
Pea vadi curry,101.95,8.9,4.64,5.08,1.92,4.28,149.51,23.62,1.2,77.64,109.24,0.0,1 katori (bowl),175,178.4,8.1
Paneer curry,176.52,8.4,7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56,0.0,1 katori (bowl),175,308.9,13.6
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,217.05,26.59,1.71,40.01,45.45,0.0,1 katori (bowl),175,193.1,2.7
Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,312.86,39.65,0.75,17.05,27.6,1.18,100g portion,100,125.6,1.8
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,0.88,1.7,83.07,13.84,0.56,74.66,129.13,0.21,1 katori (bowl),175,1042.4,3.5
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.82,0.92,104.51,29.31,0.83,64.05,250.89,0.2,1 katori (bowl),175,1000.6,1.9
Paneer kofta curry,670.91,3.27,2.39,72.06,1.98,0.4,121.72,59.49,0.34,17.06,97.75,0.24,1 katori (bowl),175,1174.1,4.2
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,0.88,1.01,108.61,19.31,0.65,38.6,57.76,0.23,1 katori (bowl),175,1108.7,1.7
Raw banana kofta curry (Kela kofta curry),627.27,3.4,0.62,67.98,2.3,0.59,88.4,9.23,0.28,23.63,46.68,0.23,1 katori (bowl),175,1097.7,1.1
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,2.62,1.04,69.62,0.83,1.0,93.65,12.26,0.4,53.98,89.51,0.23,1 katori (bowl),175,1121.9,1.8
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.89,0.9,92.85,15.46,0.34,43.56,90.4,0.23,1 katori (bowl),175,1119.7,1.7
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.4,0.82,0.83,91.43,11.64,0.33,21.87,87.12,0.23,1 katori (bowl),175,1117.7,1.6
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,1.16,0.75,99.37,37.71,0.68,47.34,197.93,0.22,1 katori (bowl),175,1060.6,2.5
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,1.19,0.64,95.89,28.39,0.39,35.58,67.83,0.22,1 katori (bowl),175,1098.0,2.3
Baked vegetables,88.99,8.44,3.67,4.44,2.56,2.34,124.7,80.2,0.62,47.05,77.19,8.27,100g portion,100,89.0,3.7
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,1.71,3.06,123.36,24.61,0.83,71.44,76.8,0.0,100g portion,100,58.8,1.9
Baked vegetables with spinach ,77.79,6.93,3.22,4.03,2.09,2.33,122.85,78.63,1.16,78.95,223.29,6.55,100g portion,100,77.8,3.2
Baked potato with skin ,135.77,11.11,3.43,8.5,1.66,1.2,354.5,90.06,0.5,11.88,9.99,21.72,100g portion,100,135.8,3.4
Shepherd's pie (vegetarian),135.63,12.03,5.04,7.3,2.78,2.23,118.2,85.59,0.76,51.68,90.43,10.62,100g portion,100,135.6,5.0
Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,2.2,2.34,79.66,26.24,0.32,68.38,103.99,0.0,100g portion,100,38.6,1.6
Dum aloo,682.33,3.33,0.7,74.01,0.71,0.68,183.85,16.49,0.36,29.39,34.41,0.49,100g portion,100,682.3,0.7
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05,0.0,1 katori (bowl),150,116.5,6.0
Methi chaman,475.62,2.78,1.54,50.91,1.79,0.53,54.94,60.57,0.63,63.26,141.85,0.0,100g portion,100,475.6,1.5
Sarson ka saag,87.84,5.33,3.0,5.86,0.75,3.69,165.45,134.41,2.43,59.58,128.42,13.24,1 katori (bowl),150,131.8,4.5
Jackfruit sabzi (Kathal ki sabzi),625.4,3.4,0.69,67.6,2.59,1.02,58.95,9.85,0.27,14.11,32.14,0.0,100g portion,100,625.4,0.7
Avial,124.56,8.47,2.46,8.94,3.83,5.44,81.5,31.9,1.01,94.64,108.12,0.0,100g portion,100,124.6,2.5
Al yakhani,147.54,4.65,2.86,13.14,3.56,1.27,206.24,103.88,0.46,5.41,60.75,4.74,100g portion,100,147.5,2.9
Shahi paneer,156.5,6.64,5.06,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58,23.7,1 katori (bowl),150,234.8,7.6
Paneer in butter sauce,145.61,9.7,6.99,8.81,7.49,1.5,151.45,170.59,0.85,18.02,64.79,9.9,1 katori (bowl),150,218.4,10.5
Methi malai paneer,194.98,8.15,7.34,14.76,6.0,1.47,221.16,183.96,0.77,13.6,73.86,7.11,1 katori (bowl),150,292.5,11.0
Chilli paneer,777.51,3.31,2.1,84.01,1.5,0.5,89.04,42.9,0.36,4.87,28.7,0.34,1 katori (bowl),150,1166.3,3.2
Paneer makhana korma,775.82,4.63,3.24,82.76,1.84,0.21,77.01,72.89,0.55,0.64,94.26,1.58,1 katori (bowl),150,1163.7,4.9
Kadhai Paneer,107.99,7.34,4.33,6.81,5.54,2.07,144.33,91.53,0.65,85.83,117.12,0.0,1 katori (bowl),150,162.0,6.5
Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,204.31,112.33,1.77,12.41,36.34,1.4,100g portion,100,139.6,9.6
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,1.42,2.23,121.1,96.88,2.38,88.11,391.34,0.68,1 serving (2-3 pcs),200,160.6,11.5
Pea keema curry (Matar keema ki sabzi),133.0,6.24,8.43,8.14,1.82,2.96,148.38,35.6,1.35,55.62,85.14,22.87,1 katori (bowl),175,232.8,14.8
Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,311.51,49.89,1.25,2.43,6.6,57.79,1 katori (bowl),175,270.3,17.1
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,130.11,52.53,0.85,3.22,22.46,25.31,1 serving (2-3 pcs),200,194.8,12.7
Mutton yakhni,104.13,0.84,8.27,7.7,0.13,0.67,101.02,88.61,1.66,0.09,6.51,0.0,1 serving (2-3 pcs),200,208.3,16.5
Chicken yakhni,99.0,0.78,10.66,6.1,0.12,0.62,97.38,28.24,0.93,0.09,13.24,29.29,1 serving (2-3 pcs),200,198.0,21.3
Mutton do piaza,183.3,4.14,9.39,14.41,2.9,1.93,118.62,118.61,1.63,7.42,67.3,77.86,1 serving (2-3 pcs),200,366.6,18.8
Mutton chops,663.64,1.48,4.03,71.31,0.42,0.17,51.03,36.18,0.64,3.75,16.68,13.32,1 serving (2-3 pcs),200,1327.3,8.1
Shammi kebab,685.69,3.54,4.52,72.61,0.31,1.05,54.27,13.11,0.75,1.64,20.55,24.6,100g portion,100,685.7,4.5
Scotch egg,676.89,1.91,4.05,72.62,0.3,0.36,90.67,15.03,0.6,2.59,30.63,48.59,100g portion,100,676.9,4.0
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.7,1.05,197.25,21.3,0.84,19.35,21.04,33.31,100g portion,100,142.8,7.4
Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41,108.0,27.29,0.87,16.79,38.7,31.25,1 katori (bowl),175,226.1,20.6
Tandoori chicken,145.2,2.34,16.26,7.93,1.58,0.5,158.0,44.33,0.9,39.53,182.73,44.25,1 serving (2-3 pcs),200,290.4,32.5
Butter chicken,137.0,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85,39.26,1 serving (2-3 pcs),200,274.0,21.8
Chicken kebab,729.41,1.11,3.71,78.89,0.24,0.21,69.76,3.46,0.28,0.41,3.83,9.94,1 serving (2-3 pcs),200,1458.8,7.4
Chilli chicken,198.83,2.86,9.57,16.56,0.93,0.99,223.75,12.97,0.66,55.19,51.55,23.87,1 serving (2-3 pcs),200,397.7,19.1
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,107.56,16.09,0.64,10.78,17.41,31.09,1 serving (2-3 pcs),200,250.1,23.0
Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,184.71,52.06,1.09,22.48,40.45,19.22,1 katori (bowl),175,194.5,15.3
Fried fish (Indian style) (Tali hui machli),658.54,5.4,4.35,68.88,0.4,0.61,156.94,11.11,0.56,7.22,35.19,6.57,100g portion,100,658.5,4.4
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.17,0.29,72.73,6.56,0.26,22.16,31.65,12.51,100g portion,100,651.8,3.4
Tomato fish,489.79,3.18,2.39,51.91,1.35,0.72,91.47,6.46,0.24,75.09,76.88,5.17,100g portion,100,489.8,2.4
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36,21.37,100g portion,100,114.0,8.6
Fish tikka,117.33,3.91,16.0,4.15,1.18,1.18,503.44,31.98,1.41,0.9,4.62,32.73,100g portion,100,117.3,16.0
Tandoori fish,95.98,2.37,11.19,4.64,1.6,0.58,123.94,37.27,0.46,19.66,27.55,23.41,100g portion,100,96.0,11.2
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,176.63,103.05,0.84,25.3,67.13,6.52,1 katori (bowl),150,142.6,5.8
Russian salad,114.83,6.5,4.26,7.84,1.66,2.57,101.09,34.92,1.23,49.56,104.32,64.49,100g portion,100,114.8,4.3
Pasta salad,190.36,12.7,4.15,13.92,2.6,0.96,152.31,66.74,0.81,38.78,56.54,12.7,100g portion,100,190.4,4.2
Deviled egg,98.56,2.23,4.97,7.72,0.82,1.15,117.29,36.84,1.51,18.42,48.39,118.13,100g portion,100,98.6,5.0
Hawain salad,175.23,14.35,4.27,11.37,5.24,3.93,64.92,61.03,1.12,51.75,123.62,4.24,100g portion,100,175.2,4.3
Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,1.36,2.96,127.78,51.63,2.13,23.82,105.59,0.0,100g portion,100,83.1,4.7
Sprouted moong salad ,37.81,5.48,2.29,0.74,2.13,0.95,116.38,54.56,1.45,27.84,49.76,1.62,100g portion,100,37.8,2.3
Tossed salad,62.96,4.95,1.02,4.22,1.56,2.15,77.5,32.37,0.86,85.7,99.67,0.0,100g portion,100,63.0,1.0
Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5,2.16,3.79,116.66,65.51,1.35,37.73,86.34,4.09,100g portion,100,60.3,4.2
Potato salad (Aloo ka salaad),89.91,11.19,1.4,4.4,3.94,1.32,125.01,25.61,0.99,58.78,52.72,0.0,100g portion,100,89.9,1.4
Waldroff salad,141.75,11.02,1.47,10.05,8.23,1.87,13.42,29.29,1.07,21.43,40.62,9.87,100g portion,100,141.8,1.5
Coleslaw,76.71,5.59,1.24,5.32,3.62,2.34,29.87,37.0,0.63,22.99,41.98,6.42,100g portion,100,76.7,1.2
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,9.78,1.58,7.11,25.93,0.81,52.45,45.4,2.71,100g portion,100,78.1,0.9
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,7.08,3.74,1.84,5.98,0.97,165.21,120.62,0.26,15.04,34.77,6.19,100g portion,100,59.0,3.7
Peanut raita (Mungfali ka raita),150.39,9.3,8.59,8.98,7.11,1.89,235.83,174.6,0.74,2.59,36.67,8.97,100g portion,100,150.4,8.6
Sprouted moong raita ,60.89,6.13,4.62,2.19,5.59,0.16,189.2,139.44,0.86,3.59,27.0,7.21,100g portion,100,60.9,4.6
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,5.25,0.85,188.37,138.26,0.23,4.76,39.49,7.21,100g portion,100,56.3,4.0
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,5.22,0.86,189.96,138.58,0.29,5.65,26.92,7.21,1 small bowl,150,88.7,6.1
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.0,1.99,4.93,1.39,180.79,142.57,1.04,19.29,95.51,6.19,100g portion,100,56.8,4.0
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,7.48,0.34,274.38,198.22,0.37,2.94,20.62,10.51,100g portion,100,77.6,5.6
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,5.08,0.75,183.37,132.31,0.34,15.33,27.03,6.98,100g portion,100,75.4,4.2
Boondi raita,687.72,3.96,2.19,73.83,1.88,0.46,99.18,49.0,0.24,0.77,37.83,2.51,100g portion,100,687.7,2.2
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,15.36,1.02,42.98,108.91,0.21,5.2,24.9,5.73,100g portion,100,99.2,3.2
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.4,1.78,0.97,79.0,49.03,0.49,0.57,18.3,2.39,1 piece,45,300.5,1.3
Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,77.9,48.16,0.5,0.51,19.06,2.36,100g portion,100,667.3,3.0
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,244.38,54.74,2.71,0.09,0.99,0.0,100g portion,100,141.5,1.0
Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,8.02,0.17,16.24,75.57,0.17,5.06,19.54,0.0,1 medium bowl,175,131.3,4.0
Makhana kheer,107.85,12.88,3.31,5.0,11.54,0.11,23.4,111.64,0.28,5.06,23.77,1.77,1 small bowl,150,161.8,5.0
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.0,12.79,0.5,22.52,104.8,0.3,4.06,16.29,2.12,1 small bowl,150,180.1,5.0
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,12.88,0.51,22.66,105.99,0.34,4.06,17.54,0.0,1 small bowl,150,169.8,5.1
Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,23.81,144.66,0.26,5.06,41.81,0.0,1 katori (bowl),150,158.0,6.8
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,9.28,0.51,22.67,102.74,0.24,17.36,33.51,0.0,1 small bowl,150,125.3,4.3
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,28.54,100.12,0.28,6.54,24.59,0.0,1 small bowl,150,128.0,4.2
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,25.19,101.75,0.3,23.92,36.87,0.0,1 small bowl,150,122.9,4.6
Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.4,16.34,75.66,0.28,5.06,32.3,0.0,1 katori (bowl),150,115.7,4.4
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,22.47,104.57,0.23,5.04,20.33,0.0,100g portion,100,116.1,3.5
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,1.28,11.77,0.65,0.05,7.96,30.82,1 small bowl,100,225.6,2.2
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,2.18,18.64,0.98,0.02,7.46,50.05,1 small bowl,100,382.3,3.5
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,39.96,106.94,0.76,6.53,44.8,14.66,1 small bowl,100,172.6,3.1
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,83.04,35.77,1.45,0.0,24.67,204.93,1 small bowl,100,299.7,7.8
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,4.23,14.15,0.63,28.98,20.72,6.23,1 small bowl,100,151.7,1.5
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,8.09,24.34,0.63,8.08,27.9,9.52,1 small bowl,100,190.3,1.3
Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,11.19,110.4,1.51,0.03,34.53,34.81,1 katori (bowl),150,524.7,12.5
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.0,43.57,88.12,0.51,3.02,35.21,78.88,1 cup,150,182.4,7.5
Baked custard,106.53,9.45,5.41,5.3,9.42,0.0,47.13,95.32,0.54,3.02,35.21,85.92,100g portion,100,106.5,5.4
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.0,122.17,95.82,0.49,3.62,37.31,73.35,100g portion,100,109.2,5.0
Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0.0,36.79,84.24,0.47,4.06,43.75,68.26,1 scoop,100,177.7,4.5
Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,29.13,67.17,0.39,44.98,142.26,55.21,1 scoop,100,125.7,3.4
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,38.78,93.35,0.36,4.02,15.6,17.12,1 scoop,100,171.5,4.4
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,33.47,87.32,0.35,3.27,25.96,54.79,1 scoop,100,173.5,4.3
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0.0,50.73,59.81,0.56,12.9,32.11,100.42,100g portion,100,168.5,7.0
Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,49.22,59.04,0.65,19.16,37.93,97.54,100g portion,100,168.3,6.8
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0.0,56.73,70.6,0.58,1.3,30.71,109.43,100g portion,100,187.8,7.7
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0.0,56.07,71.55,0.71,1.3,31.85,108.18,100g portion,100,189.3,7.9
Pineapple souffle ,196.14,15.52,8.06,11.72,13.45,0.0,59.17,67.23,0.61,1.0,29.66,117.82,100g portion,100,196.1,8.1
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,28.79,33.76,0.48,14.48,35.22,57.67,100g portion,100,106.9,4.2
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0.0,51.71,54.59,0.97,0.7,31.64,111.71,100g portion,100,188.3,8.0
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,19.62,51.38,0.35,42.76,110.68,23.66,100g portion,100,125.0,3.2
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,10.17,35.0,0.41,19.89,10.56,15.43,100g portion,100,101.2,1.4
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,56.45,34.95,0.53,25.28,28.72,47.04,100g portion,100,188.3,4.0
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,26.95,48.72,0.47,19.31,28.71,36.95,100g portion,100,117.0,2.9
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,39.6,101.33,0.42,5.47,42.48,57.55,100g portion,100,95.2,4.7
Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,23.97,111.86,0.2,5.04,18.69,0.0,100g portion,100,98.4,3.2
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,79.1,21.15,0.55,21.74,15.92,31.86,1 cup,150,417.0,3.5
Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,44.16,85.43,0.37,3.02,24.69,40.85,1 medium bowl,175,197.6,8.5
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,37.83,226.11,0.87,0.3,60.43,99.76,100g portion,100,285.0,11.3
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,171.36,64.56,0.6,0.75,18.08,46.25,100g portion,100,212.0,3.6
Bread and butter pudding ,167.94,19.63,5.59,7.88,11.84,0.98,96.3,105.54,0.9,1.58,21.41,55.29,100g portion,100,167.9,5.6
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,85.59,78.26,0.53,8.11,46.64,60.59,100g portion,100,132.9,5.5
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,74.52,26.05,0.68,9.66,15.44,62.13,100g portion,100,257.7,3.2
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,3.87,34.69,1.54,6.39,32.22,18.85,100g portion,100,322.4,3.9
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,16.66,49.24,0.18,5.6,10.2,0.0,100g portion,100,92.9,1.3
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,12.8,9.43,0.18,4.46,4.64,0.0,100g portion,100,101.5,0.9
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,58.8,53.81,1.03,7.01,30.66,160.48,100g portion,100,180.0,6.9
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,54.11,60.19,1.08,0.9,30.6,138.51,100g portion,100,226.1,6.7
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,59.59,63.2,0.93,0.9,28.8,153.55,100g portion,100,192.9,6.9
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,31.65,355.78,1.5,0.05,23.94,38.12,100g portion,100,408.3,9.8
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,27.63,272.81,1.82,0.0,26.6,29.26,100g portion,100,467.6,8.8
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,18.15,215.85,0.93,1.08,34.06,26.43,100g portion,100,276.0,5.9
Chocolate burfi,339.33,33.15,13.0,17.86,32.38,0.0,39.32,466.48,2.12,0.0,23.85,3.78,100g portion,100,339.3,13.0
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,4.23,12.95,1.79,0.0,2.1,38.62,100g portion,100,421.7,5.5
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,13.02,160.71,1.47,0.0,32.38,40.13,100g portion,100,421.8,11.2
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,14.4,106.42,1.73,0.03,7.1,27.87,100g portion,100,428.7,6.7
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,9.06,26.72,1.83,0.05,5.21,33.81,100g portion,100,464.4,5.7
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,5.48,25.35,1.51,0.0,24.79,52.34,100g portion,100,476.9,8.9
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,18.55,631.82,8.94,0.0,18.17,0.0,100g portion,100,397.0,10.7
Chenna murki,252.69,36.01,10.46,8.2,35.55,0.0,11.4,266.85,0.55,0.0,46.65,0.0,100g portion,100,252.7,10.5
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,24.97,104.94,0.2,8.0,18.19,11.56,1 glass,250,318.5,7.5
Ghujia/Lavang latika,768.98,13.0,1.86,78.93,6.08,0.52,3.28,31.01,0.44,0.01,6.86,4.62,100g portion,100,769.0,1.9
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,15.09,67.32,0.39,0.02,16.44,0.0,2 pieces,90,527.5,1.8
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,6.35,30.05,0.33,0.67,5.3,0.0,100g portion,100,566.7,1.7
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,71.04,76.47,0.37,0.86,7.61,0.0,100g portion,100,189.8,2.8
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,63.38,6.59,0.38,18.53,109.12,0.0,1 plate (6 pcs),150,1015.8,2.8
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,63.55,7.95,0.36,5.36,119.81,0.0,1 plate (6 pcs),150,1011.9,2.8
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,66.54,8.44,0.42,37.72,133.47,0.0,1 plate (6 pcs),150,1007.4,3.0
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,65.35,9.55,0.46,21.46,143.18,0.0,1 plate (6 pcs),150,1010.7,2.9
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,69.54,10.99,0.52,12.12,153.51,0.0,1 plate (6 pcs),150,1068.9,2.9
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,69.83,23.07,0.69,23.31,126.81,0.0,1 plate (6 pcs),150,1069.9,3.1
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,75.37,9.55,0.47,0.01,121.37,28.39,1 plate (6 pcs),150,1065.8,4.2
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,101.49,19.83,0.46,0.01,114.11,0.0,1 plate (6 pcs),150,1066.5,3.9
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,131.7,43.38,0.43,0.07,143.43,0.0,1 katori (bowl),150,1077.2,4.9
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,132.53,6.79,0.37,8.96,16.02,0.0,100g portion,100,632.8,1.1
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,77.1,7.63,0.5,11.27,12.8,2.33,1 piece,60,346.4,1.0
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,88.64,6.7,0.55,0.82,4.62,16.71,1 piece,60,372.6,2.7
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,78.18,64.56,0.53,6.67,26.39,0.0,1 katori (bowl),150,935.7,6.0
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,64.7,5.23,0.43,0.0,2.38,0.0,100g portion,100,805.1,1.8
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,90.56,7.84,0.59,0.86,6.38,0.0,100g portion,100,712.7,2.5
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,85.38,13.55,0.4,16.89,30.52,6.77,100g portion,100,665.4,1.2
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,76.65,9.17,0.59,12.63,23.98,6.9,1 medium bowl,175,1228.0,3.1
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.0,0.51,1.21,84.24,14.38,0.56,12.63,38.52,6.75,100g portion,100,698.8,2.6
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,75.33,10.44,0.36,10.46,19.06,11.02,100g portion,100,654.6,2.8
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,85.71,45.36,0.38,11.61,41.52,13.33,1 katori (bowl),150,1009.4,3.7
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,79.13,11.3,0.57,16.18,49.07,6.98,1 katori (bowl),150,1032.0,2.2
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,121.05,43.87,0.31,0.0,6.85,11.55,100g portion,100,785.4,2.0
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,168.97,26.08,0.7,24.68,40.96,7.4,1 piece,200,1039.9,6.5
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,397.73,96.51,1.09,6.72,15.85,10.64,1 slice,100,249.5,5.8
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,83.67,32.66,0.36,6.86,13.84,0.0,100g portion,100,690.7,1.6
