Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24,7.01,0.6,195.18,138.31,0.25,4.6,23.86,4.67,100g portion,100,72.6,4.0
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43,7.07,0.65,189.96,163.8,0.3,8.44,32.13,8.61,100g portion,100,71.6,4.9
Green chilli raita (Hari mirch ka raita),77.13,7.66,5.58,2.92,7.49,0.26,161.31,193.58,0.21,4.3,18.82,10.52,100g portion,100,77.1,5.6
Kale salad,177.71,5.01,4.86,15.33,3.31,1.36,292.04,109.11,1.3,30.49,35.39,6.12,100g portion,100,177.7,4.9
Spinach and paneer souffle ,186.19,9.64,7.56,13.49,2.81,1.07,434.68,114.32,1.4,10.82,133.95,76.02,1 katori (bowl),150,279.3,11.3
Masala souffle ,123.51,8.02,6.38,7.37,1.84,1.24,131.14,103.68,0.74,382.64,363.81,86.45,100g portion,100,123.5,6.4
Chicken and cheese souffle,182.35,3.47,9.07,14.74,2.46,0.26,120.93,61.71,0.63,2.4,28.77,89.24,1 serving (2-3 pcs),200,364.7,18.1
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48,22.85,1.65,75.61,40.3,1.95,0.03,0.18,0.68,100g portion,100,109.2,0.9
Pav bhaji masala,230.47,29.15,9.13,10.96,1.48,24.3,1814.66,588.91,12.84,0.06,0.21,0.0,1 katori (bowl),150,345.7,13.7
Green chutney,79.42,10.01,5.42,1.6,0.92,5.84,262.81,112.74,4.58,7.35,15.53,0.0,100g portion,100,79.4,5.4
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.1,1.03,1.82,100.26,15.13,0.86,13.41,34.18,12.24,100g portion,100,187.2,2.7
Gram flour chilla/cheela (Besan chilla/cheela),135.93,21.03,7.8,2.85,1.87,4.25,135.57,28.38,2.19,1.73,34.69,0.0,100g portion,100,135.9,7.8
Vegetable namkeen jave,112.23,18.98,2.93,2.51,1.04,2.86,32.13,10.32,1.07,12.45,26.26,3.41,100g portion,100,112.2,2.9
Khakhra,178.5,27.66,4.78,5.32,0.88,5.43,184.16,21.27,2.14,0.56,10.5,0.0,100g portion,100,178.5,4.8
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67,2.9,6.04,61.36,36.44,3.38,1.48,14.32,17.86,1 medium piece,120,343.2,14.8
Methi thepla,346.16,41.34,8.98,15.95,2.98,7.56,543.27,73.51,4.52,1.06,15.26,1.85,100g portion,100,346.2,9.0
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13,0.33,0.76,48.28,4.96,0.42,0.0,4.85,0.0,1 medium bowl,175,143.5,2.2
